,id,team,weight,height,jersey,year,position,name,school,color,alt_color,logos
47,4682761,New Mexico,184.0,70.0,15.0,3.0,WR,Luke Wysong,New Mexico,#BA0C2F,#a7a8aa,"['http://a.espncdn.com/i/teamlogos/ncaa/500/167.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/167.png']"
48,4708878,New Mexico,244.0,75.0,5.0,3.0,TE,Trace Bruckler,New Mexico,#BA0C2F,#a7a8aa,"['http://a.espncdn.com/i/teamlogos/ncaa/500/167.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/167.png']"
49,5082358,New Mexico,181.0,72.0,26.0,3.0,PK,Luke Drzewiecki,New Mexico,#BA0C2F,#a7a8aa,"['http://a.espncdn.com/i/teamlogos/ncaa/500/167.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/167.png']"
50,4685401,TCU,196.0,73.0,10.0,2.0,QB,Josh Hoover,TCU,#4d1979,#f1f2f3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2628.png']"
51,4918103,TCU,195.0,71.0,4.0,2.0,RB,Cam Cook,TCU,#4d1979,#f1f2f3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2628.png']"
52,4603186,TCU,220.0,74.0,18.0,4.0,WR,Jack Bech,TCU,#4d1979,#f1f2f3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2628.png']"
53,4429466,TCU,248.0,77.0,9.0,4.0,TE,Drake Dabney,TCU,#4d1979,#f1f2f3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2628.png']"
54,5149118,TCU,210.0,74.0,34.0,1.0,PK,Kyle Lemmermann,TCU,#4d1979,#f1f2f3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2628.png']"
55,4775136,UTSA,190.0,73.0,13.0,2.0,QB,Owen McCown,UTSA,#002A5C,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2636.png']"
56,5151317,UTSA,205.0,69.0,20.0,4.0,RB,Robert Henry,UTSA,#002A5C,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2636.png']"
57,4686767,UTSA,160.0,71.0,15.0,4.0,WR,Chris Carpenter,UTSA,#002A5C,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2636.png']"
58,4801276,UTSA,240.0,77.0,88.0,2.0,TE,Houston Thomas,UTSA,#002A5C,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2636.png']"
59,4692042,UTSA,195.0,74.0,82.0,3.0,PK,Chase Allen,UTSA,#002A5C,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2636.png']"
60,4801299,Iowa State,205.0,73.0,3.0,2.0,QB,Rocco Becht,Iowa State,#822433,#fdca2f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/66.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png']"
61,5077502,Iowa State,210.0,74.0,26.0,2.0,RB,Carson Hansen,Iowa State,#822433,#fdca2f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/66.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png']"
62,4586312,Iowa State,200.0,70.0,13.0,4.0,WR,Jaylin Noel,Iowa State,#822433,#fdca2f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/66.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png']"
63,4869519,Iowa State,260.0,77.0,84.0,2.0,TE,Gabe Burkle,Iowa State,#822433,#fdca2f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/66.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png']"
64,4917269,Iowa State,210.0,70.0,20.0,2.0,PK,Jace T. Gilbert,Iowa State,#822433,#fdca2f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/66.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png']"
65,4574356,Jacksonville State,222.0,73.0,6.0,4.0,QB,Tyler Huff,Jacksonville State,#b50500,#b5b7ba,"['http://a.espncdn.com/i/teamlogos/ncaa/500/55.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/55.png']"
66,5093062,Jacksonville State,192.0,70.0,28.0,4.0,RB,Tre Stewart,Jacksonville State,#b50500,#b5b7ba,"['http://a.espncdn.com/i/teamlogos/ncaa/500/55.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/55.png']"
67,5150904,Jacksonville State,190.0,74.0,18.0,1.0,WR,Cam Vaughn,Jacksonville State,#b50500,#b5b7ba,"['http://a.espncdn.com/i/teamlogos/ncaa/500/55.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/55.png']"
68,4570580,Jacksonville State,250.0,77.0,17.0,4.0,TE,Sean Brown,Jacksonville State,#b50500,#b5b7ba,"['http://a.espncdn.com/i/teamlogos/ncaa/500/55.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/55.png']"
69,5150909,Jacksonville State,180.0,70.0,37.0,1.0,PK,Garrison Rippa,Jacksonville State,#b50500,#b5b7ba,"['http://a.espncdn.com/i/teamlogos/ncaa/500/55.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/55.png']"
70,4606194,Memphis,215.0,75.0,9.0,4.0,QB,Seth Henigan,Memphis,#004991,#8e908f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/235.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/235.png']"
71,5154339,Memphis,208.0,69.0,2.0,4.0,RB,Mario Anderson,Memphis,#004991,#8e908f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/235.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/235.png']"
72,4431597,Memphis,215.0,75.0,3.0,4.0,WR,Roc Taylor,Memphis,#004991,#8e908f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/235.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/235.png']"
73,4430022,Memphis,248.0,77.0,82.0,4.0,TE,Anthony Landphere,Memphis,#004991,#8e908f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/235.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/235.png']"
74,4705851,Memphis,200.0,72.0,43.0,4.0,PK,Caden Costa,Memphis,#004991,#8e908f,"['http://a.espncdn.com/i/teamlogos/ncaa/500/235.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/235.png']"
75,4431325,Arkansas,230.0,78.0,10.0,3.0,QB,Taylen Green,Arkansas,#a41f35,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']"
76,4690972,Arkansas,233.0,74.0,22.0,4.0,RB,Ja'Quinden Jackson,Arkansas,#a41f35,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']"
