,Team
554,Dubuque Spartans
555,York College Nebraska Panthers
556,University of Health Sciences & Pharmacy Eutectics
557,Concordia-St. Paul Golden Bears
558,Occidental Tigers
559,Manor College Blue Jays
560,Springfield Pride
561,Penn State-Fayette Nittany Lions
562,Penn State Scranton Nittany Lions
563,Vermont State - Johnson Badgers
564,Franciscan University Barons
565,WPI Engineers
566,Purchase Panthers
567,Vermont State - Randolph Knights
568,Lehman College Bridges
569,Pratt Cannoneers
570,York (NY) Cardinals
571,Chatham University Cougars
572,Manhattanville Valiants
573,Notre Dame (Md) Gators
574,Boyce Bulldogs
575,Kentucky Christian Knights
576,Alice Lloyd College Eagles
577,Union (TN) Bulldogs
578,Bryan (TN) Lions
579,Milligan Buffaloes
580,Fort Valley State Wildcats
581,Mississippi College Choctaws
582,Rhodes Lynx
583,Earlham College Quakers
584,Blackburn Beavers
585,Bethel (TN) Wildcats
586,Montreat Cavaliers
587,Crowley's Ridge Pioneers
588,Saint Mary of the Woods College Pomeroys
589,Westminster (MO) Blue Jays
590,Campbellsville-Harrodsburg Pioneers
591,Fisk Bulldogs
592,Johnson University (TN) Royals
593,Western Oregon Wolves
594,Seattle Pacific Falcons
595,Mitchell College Mariners
596,Regis Pride
597,SUNY-Canton Roos
598,Puerto Rico-Bayamon Pirates
599,Neumann Knights
600,Rosemont Ravens
601,Mount Saint Mary (NY) Knights
602,SUNY-Maritime Privateers
603,Tusculum Pioneers
604,William Peace Pacers
605,Tennessee Wesleyan Bulldogs
606,Oglethorpe Stormy Petrels
607,Erskine Flying Fleet
608,Augusta Jaguars
609,North Greenville Crusaders
610,Trinity (TX) Tigers
611,St. Thomas (TX) Celts
612,Dallas Crusaders
613,LeTourneau Yellow Jackets
614,Texas Wesleyan Rams
615,UNT Dallas Trailblazers
616,Texas College Steers
617,McMurry War Hawks
618,Ecclesia Royals
619,Paul Quinn Tigers
620,Our Lady Of The Lake Saints
621,Texas A&M-San Antonio Jaguars
622,Southern-New Orleans Knights
623,Mississippi University For Women Owls
624,Oakwood Ambassadors
625,Texas A&M-Kingsville Javelinas
626,Xavier (LA) Gold Nuggets
627,Arkansas Baptist Buffaloes
628,Lindsey Wilson College Blue Raiders
629,Campbellsville Tigers
630,Kentucky Wesleyan Panthers
631,Ouachita Baptist Tigers
632,Lane College Dragons
633,Florida National Conquistadors
634,UT Dallas Comets
635,New Mexico Highlands Cowboys
636,University of The Southwest Mustangs
637,Spring Hill Badgers
638,Mobile Rams
639,Western Colorado Mountaineers
640,Colorado Christian Cougars
641,Colorado-Colorado Springs Mountain Lions
642,Wayland Baptist Pioneers
643,MARIAN Sabres
644,Lewis & Clark Pioneers
645,Willamette Bearcats
646,Northeastern State RiverHawks
647,Southwestern Christian Eagles
648,Hawai'i Pacific Sea Warriors
649,LSU Alexandria Bull Terriers
650,Rust Bearcats
651,Corban College Warriors
652,Sul Ross State Lobos
653,UT Permian Basin Falcons
654,Colorado College Tigers
655,Randolph College Wildcats
656,Brewton-Parker Wildcats
657,Edward Waters Tigers
658,Mount Marty College Lancers
659,Dakota Wesleyan Tigers
660,Chadron State Eagles
661,Jamestown Jimmies
662,Minnesota Crookston Golden Eagles
663,Wisconsin-Stout Blue Devils
664,Medgar Evers Cougars
665,Randall University Saints
666,Southern Wesleyan Warriors
667,Brevard Tornados
668,Carolina Christian College Centurions
669,Columbia College (SC) Fighting Koalas
670,Rockford Regents
671,Dean College Bulldogs
672,Pacific (OR) Boxers
673,Dickinson State (ND) Blue Hawks
674,South Dakota Mines Hardrockers
675,Waldorf College Warriors
676,Kentucky State Thorobreds
677,Cumberland (KY) Patriots
678,Mid-America Christian Evangels
679,Rivier Raiders
680,Fisher College Eagles
681,Southwestern (TX) Pirates
682,Howard Payne Yellow Jackets
683,Hardin-Simmons Cowboys
684,Point University Skyhawks
685,Dalton State Roadrunners
686,Tabor
687,Whittier Poets
688,North Central (MN) Rams
689,St. Norbert Green Knights
690,Crown College Polars
691,Lynchburg Hornets
692,Framingham State Rams
693,Lesley University Lynx
694,Shawnee State Bears
695,Harris-Stowe State Hornets
696,SUNY Poly Wildcats
697,SUNY Delhi Broncos
698,Mount Aloysius Mounties
699,Penn State-Altoona Nittany Lions
