,team,height,bat_hand,throw_hand,year,position,name,player_id,opponent,win,saves,innings,earned_runs_allowed,singles,doubles,triples,home_runs,runs,runs_batted_in,walks,hits_by_pitch,stolen_bases,caught_stealing
60,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Elon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
61,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Elon,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0
62,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Elon,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0
63,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,McNeese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Cal Poly,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
65,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Cal Poly,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Cal Poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
67,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Texas State,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
68,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
69,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Oklahoma State,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Rice,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0
